,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
23,,4,,,,,,,,,,,,5,,,,,,,,,,,4,,,,4,,5,4,3,5
24,,5,,,5,,,,,5,,,,,5,,,,,,,,5,5,,,5,,,,,,,
25,,5,4,,,,,,,5,,,4,,,,,,,,,,,5,,,5,,,,,,,
26,,5,,,5,5,,5,,5,,,,,,,,,,,,5,,5,,,5,,,,,,,
27,,5,,,5,,,,,,5,,,,,,,,,,,,,5,,5,,,,,,,,5
28,,5,,,,,,,,,,,,5,,,,,,,,,,5,5,,5,5,,,,,,
29,,5,,,5,,,,,,,,5,5,,5,,,,,,,,5,,,,,,,,,,
30,,,5,,5,,,,,5,,,3,4,,,,,,,4,3,,4,,,4,5,,,,,,
31,,,5,,,,,,5,,,,,,,,,,,,,,,,,,,5,4,,2,,4,5
32,,,5,5,,,,,,,,,5,,,,,,,,4,4,,4,,,,,,,,,,
33,,,5,,,5,5,5,,,,,5,,,,,,,,,,4,,,,,,,,,,,
34,,,5,,,,,,5,5,,,5,,,4,,,,,,,,,3,,,5,,,,,,
35,,,5,,,,,,,5,4,5,5,5,,5,,,,,,,,,5,5,4,5,,5,,2,,
36,,,5,,,,,,,,,,,,,,,1,,,,,5,5,,,,,,,1,,,5
37,,,5,,,,,5,,5,5,4,,,,5,,,,,,,,,,5,,,,,,,,
38,,,5,,5,4,,,,,,,4,,,,,,,,5,,,4,,,,4,,,,,,
39,,,5,,,,,5,5,5,4,,5,,,,,,,,,4,,,5,5,,,,,,,,
40,,,,5,,,4,5,,,5,,,,2,,,,,,,,5,,,,,,,,,,,
41,,,,5,5,5,,,,,,,5,,4,,,,,,4,,3,,,,,,,,,,,
42,,,,4,,,,,,,,,,,,,,5,,3,5,,,,,,,,,,2,,4,
43,,,,,4,,,,,,4,,5,5,,,,,,,,,,,,,4,4,,,,,,
44,,,,,5,,4,,,,,,,,,,,,,3,5,,2,5,,,,,,,,,,
45,,,,,,5,2,5,,,,,,,5,,,,,,,,3,,,,,,5,,,,,
46,,,,,,5,,,5,5,,,,,,5,,,,,,5,,,5,,,,,,,,,
47,,,,,,5,,,,5,,,5,,,,,,,,,5,,,4,,,,,,,,4,
48,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,5,,4,4,4,4
49,,,,,,5,,,,,,,5,,,,,,,,,,,,,,,,3,,,5,5,5
50,,,,,,,,,5,5,,,5,,,,,,,,,3,,,5,,5,,,,,,,
51,,,,,,,,,4,4,,,5,4,,,,,,,,4,,,4,,3,4,,,,,,
52,,,,,,,,,,5,,,3,,,,,,,,,,,,,,5,3,,5,,,5,
53,,,,,,,,,,5,,,,,,,,,,,5,,4,,,5,,,,,2,,,5
54,,,,,,,,,,5,,5,,,4,5,,,,,,5,,,,,,5,,,,,,
55,,,,,,,,,,4,,,,,,,,,2,5,5,4,,,,,,,,4,4,,,
56,,,,,,,,,,,,5,,5,,4,,5,,,5,,,5,,,5,,,,,,,
57,,,,,,,,,,,,,,2,,,,,,5,5,,3,,,,,,,5,,,1,
58,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,4,,,5,3,5
59,,,,,,,,,,,,,,5,,5,,,,4,5,,,,,,,,,5,5,5,,5
60,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,2,,5,4,5,5
61,,,,,,,,,,,,,,5,,,,,,,4,,,,,,,,,1,4,2,,3
62,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,5,,5,5,5,
63,,,,,,,,,,,,,,5,,5,,,,,,,,,,,,,,2,2,5,4,5
64,,,,,,,,,,,,,,,,5,,,,,4,5,,,,,,,,1,2,,5,4
65,,,,,,,,,,,,,,,,,3,,,2,3,,,,,,,,,1,,4,3,
66,,,,,,,,,,,,,,,,,4,,4,5,3,,,,,,,,3,,,,,4
67,,,,,,,,,,,,,,,,,1,,,2,5,,,,,,,,2,,,5,5,4
68,,,,,,,,,,,,,,,,,1,1,,5,,,,,,,,,,5,,3,,1
69,,,,,,,,,,,,,,,,,5,5,4,5,3,,,,,,,,,,,,,2
70,,,,,,,,,,,,,,,,,3,4,5,4,4,,,,,,,,,5,4,4,3,5
71,,,,,,,,,,,,,,,,,2,4,,,,,,,5,,,,,3,,3,,4
72,,,,,,,,,,,,,,,,,4,3,3,4,2,,,,,,,,,5,,,,
73,,,,,,,,,,,,,,,,,1,,,2,3,,,,,,,,1,,3,3,1,
74,,,,,,,,,,,,,,,,,1,2,3,5,5,,,,,,,,2,,,5,,
75,,,,,,,,,,,,,,,,,4,,5,5,,,,,,,,,5,,5,5,,4
76,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2,3,4,4,5
77,,,,,,,,,,,,,,,,,3,1,5,5,4,,,,,,,,,3,4,5,,5
78,,,,,,,,,,,,,,,,,1,2,,2,4,,,,,,,,3,,1,,,
79,,,,,,,,,,,,,,,,,4,,5,5,4,,,,,,,,3,,,4,,
80,,,,,,,,,,,,,,,,,5,1,5,2,2,,,,,,,,5,,1,5,5,4
81,,,,,,,,,,,,,,,,,3,4,,4,,,,,,,,,5,,,2,5,
82,,,,,,,,,,,,,,,,,2,4,,3,5,4,,,,4,,,,,,,,
83,,,,,,,,,,,,,,,,,,5,4,4,5,,,,,,,,4,,5,5,4,5
84,,,,,,,,,,,,,,,,,,4,4,4,2,,,,,,,,5,,5,,4,
85,,,,,,,,,,,,,,,,,,2,4,5,,,,,,,,,,3,,5,,
86,,,,,,,,,,,,,,,,,,4,4,3,,,,,,,,,4,,1,3,3,5
87,,,,,,,,,,,,,,,,,,,2,4,5,,,,,,,,,3,1,4,3,4
88,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,4,,5,5,4,
89,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,3,,4,5,5,2
90,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,4,,1,3,4,2
91,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4,4,4,5,2
92,,,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,1,4,1,5
93,,,,,,,,,,,,,,,,,,,,2,4,,2,,,,,,,3,,,4,4
94,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,2,5,5,2,4
95,,,,,,,,,,,,,,,,,,,,5,3,5,,,,,,,,5,4,5,4,3
96,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,3,1,4
97,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,5,4,4,4,5
98,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,,4,5,4,5
99,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,3,5,3,3
100,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,4,3,3,5
